x1,x2,y
3.01874617094183,4.21551377619565,-1
2.81574745793094,3.33087648510414,-1
1.62866945007749,4.39027511927468,-1
2.40083228421628,3.87204698502111,-1
3.29454512656751,1.91918297733973,-1
3.38979430070017,3.49582159144654,-1
1.79192382457051,4.05262755621631,-1
2.63632398252914,1.72535004984872,-1
1.37332731829691,2.80633327157662,-1
2.74352160587601,1.70491635744663,-1
4.10177950308713,3.14188028467865,-1
3.75578150802734,4.26171505198662,-1
2.76176644398128,2.56849967193035,-1
3.98744470341339,1.17728741049818,-1
3.74139012838382,3.35254395875311,-1
3.08934726649582,1.65154855852622,-1
2.04505614384762,3.70768831790743,-1
2.80484961533276,2.58910906320122,-1
3.92552126209408,2.55395482007776,-1
3.48297852483661,1.95884369833125,-1
2.40368936327979,2.67077528384599,-1
0.81471316183047,2.71717837586765,-1
2.32513406212488,3.43242912549535,-1
0.880938808089826,2.69239290493658,-1
1.7348019784691,2.94336369211068,-1
2.6263384448453,3.73351542020027,-1
2.31244456961208,3.09731161966518,-1
2.12784117328231,4.63089173658816,-1
2.89823899377518,3.5606106990022,-1
2.74621946989754,4.32956476445216,-1
1.14625954552086,2.72117650436554,-1
2.92205393392463,1.73326845585908,-1
3.96856634052454,2.75085160595973,-1
3.18492595999031,3.0179884145688,-1
1.62005642166242,3.37707272711033,-1
1.56448563763963,3.79600855752744,-1
3.36208722860661,2.15932258290143,-1
1.24091324624029,0.794528249173788,-1
2.67545599042767,1.87194400893751,-1
2.34843701145534,1.65869004119755,-1
4.08655139944051,4.60511404288097,-1
2.23745511996871,3.74442372848854,-1
2.17133746499891,3.86208220595338,-1
3.83447390308845,3.3951558154762,-1
2.03234801324009,3.50911869633033,-1
2.97118466452414,2.87744987416937,-1
3.23252515257539,3.09258464717828,-1
2.69879131849582,2.64212008566637,-1
2.32238541685067,2.64034477565299,-1
3.65522763623522,4.02857072088428,-1
2.59936245296826,4.07789259245098,-1
2.66544343492665,3.9317812152325,-1
4.36795395319196,1.5392061330224,-1
5.13776710365012,2.09392442375066,-1
3.50581926452903,2.31965216860759,-1
3.78634238423916,4.06316603678904,-1
2.09778805582136,2.30758684787385,-1
3.53289699232833,1.8663717347091,-1
2.35410574645079,1.90538456620278,-1
3.29098748842977,1.98709638116327,-1
1.76240553112278,3.41027732588589,-1
2.54382372488219,3.47774044192679,-1
2.16967734527527,0.670120454933465,-1
3.34011564367426,3.01625546517674,-1
4.06637639568217,3.98035352314648,-1
4.2161258380798,3.80634826481736,-1
3.73569065763305,3.1196008888913,-1
2.51879138268442,0.563384395682423,-1
3.56274476285812,3.03102247612239,-1
1.7536802881108,2.66425330200016,-1
3.38092221262568,2.73622383807624,-1
1.56957274720331,2.6441475391198,-1
1.9515544951214,2.51884520170982,-1
2.78149644946541,3.22273546781787,-1
1.51006376326446,5.42991031869739,-1
4.17270628121431,4.49629811873421,-1
1.52017297842834,2.28279179724091,-1
2.56961218392278,2.53294609981237,-1
1.94836135795655,3.66292345285941,-1
4.5225863440541,5.3001768909466,-1
3.59282805458608,3.32751014121659,-1
2.77733849098073,3.06386348161691,-1
3.71289427624846,1.86043906003233,-1
3.71660083374105,4.18041020362035,-1
3.44024186438414,3.04138847703315,-1
3.1588306213181,1.7864064366153,-1
3.65976413833195,3.07319577662781,-1
5.22051966293556,2.74267540565446,-1
1.8160549259346,3.26680641094213,-1
2.92604416550251,4.38772432571642,-1
2.58364532511348,3.19307963502394,-1
2.80851765624737,3.59231662260043,-1
3.0695447814074,2.17002547308422,-1
4.15534831801052,3.39257328164249,-1
3.59495734695049,3.38486761068081,-1
1.58035489164301,4.05104466572565,-1
1.39332275464196,4.15579748458375,-1
3.89292589956318,1.96556204105797,-1
3.14816795518773,2.74553193419573,-1
4.22702839010139,4.27368426608477,-1
-3.76180433917803,-1.49745536101861,-1
-2.58062459411009,-2.40959053285336,-1
-4.03994336463235,-3.63068545138345,-1
